% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 18 2026, 19:50
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -6.728433137685487       -1.5826959475555704
3.2E11                    -7.668198460655685       -1.344471778873365
3.4E11                    -8.843387627898679       -1.1112874440582585
3.6E11                    -10.238542434982346      -0.8972189161381716
3.8E11                    -11.647386103684836      -0.7193036921616238
4.0E11                    -12.476820384633971      -0.5937712198886024
4.2E11                    -12.103098233683404      -0.5310505467920458
4.4E11                    -10.807601457525319      -0.5320792915964985
4.6E11                    -9.31508025753795        -0.5882246599194431
4.8E11                    -7.9974920429073135      -0.6847677270252304
5.0E11                    -6.933338781378052       -0.8056437500826298
5.2E11                    -6.09809875675495        -0.9370468059782642
5.4E11                    -5.445769870450618       -1.0690061377145845
5.6E11                    -4.933447422281739       -1.1953594350359023
5.8E11                    -4.526760677315755       -1.3129436426602468
6.0E11                    -4.199672350334074       -1.420617482691555
6.2E11                    -3.9329258648426464      -1.5183973095883356
6.4E11                    -3.7122997051014552      -1.6067589187786848
6.6E11                    -3.526036751072677       -1.686296346369947
6.8E11                    -3.35940235530064        -1.759785263456207
7.0E11                    -3.203449050610655       -1.8341659893930728
7.2E11                    -3.0687452508059705      -1.907343044262417
7.4E11                    -2.95249466069449        -1.9764146639319147
7.6E11                    -2.847961021481662       -2.0428593542996247
7.8E11                    -2.7515866141598373      -2.1082414804167335
8.0E11                    -2.661340198236756       -2.1736912463493225
