% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 18 2026, 19:49
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -9.44914451036907        -0.9785385678060434
3.2E11                    -11.166224095202896      -0.7696253894551232
3.4E11                    -12.7891414925106        -0.6137924590803052
3.6E11                    -13.407818380182002      -0.5220248393884506
3.8E11                    -12.500642245292536      -0.4969684155534904
4.0E11                    -10.865574760905382      -0.5320327714223231
4.2E11                    -9.277039910776363       -0.613811689520108
4.4E11                    -7.967373481189962       -0.726281752401846
4.6E11                    -6.937765095346215       -0.8545899224433101
4.8E11                    -6.136495685314166       -0.9871878406308198
5.0E11                    -5.510573383139775       -1.1163282755173929
5.2E11                    -5.01687036482731        -1.2375643353090995
5.4E11                    -4.622611988513644       -1.3488868914876542
5.6E11                    -4.303517735005565       -1.4498823635791767
5.8E11                    -4.041820753561387       -1.541056359013211
6.0E11                    -3.824730785406278       -1.6233171192426012
6.2E11                    -3.6434869625090753      -1.69749876089922
6.4E11                    -3.4929701977335355      -1.7636115711295655
6.6E11                    -3.3696469697500584      -1.8195444048980565
6.8E11                    -3.2541191732307686      -1.8657181822009485
7.0E11                    -3.117447688883172       -1.920684719234117
7.2E11                    -2.990555707632303       -1.984227657121803
7.4E11                    -2.883709587966682       -2.045917802404558
7.6E11                    -2.789101058459596       -2.105451258921293
7.8E11                    -2.7018988743298773      -2.164356112904704
8.0E11                    -2.619671016278815       -2.2238457870262005
