% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 2 2026, 06:09
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.20502130609569        -2.380288603458865
2.7E11                    -4.65045451371996        -2.122533262802025
2.9E11                    -5.240595072148178       -1.8380800539167512
3.1E11                    -6.042800323318839       -1.5278643988834646
3.3E11                    -7.160035712406515       -1.1992453926282194
3.5E11                    -8.749131552660245       -0.8692849766232985
3.7E11                    -11.032354123751238      -0.5661805223463003
3.9E11                    -14.14517638902581       -0.3253514351640908
4.1E11                    -16.64175883801319       -0.1783392130254058
4.3E11                    -14.921505770371875      -0.13916442599382026
4.5E11                    -11.79331353960269       -0.19818898668658047
4.7E11                    -9.409996753866308       -0.3284837825294679
4.9E11                    -7.746346078716862       -0.4985853104392007
5.1E11                    -6.575584250226983       -0.6823667755496364
5.3E11                    -5.733084246229835       -0.8625762311471301
5.5E11                    -5.111688947397209       -1.029954210379351
5.7E11                    -4.641993029909099       -1.1808112865082179
5.9E11                    -4.278506223958186       -1.314734452834165
6.1E11                    -3.991000820800182       -1.4329248422156402
6.3E11                    -3.7591569354982255      -1.5370898736248733
6.5E11                    -3.5688030739180316      -1.6286772749123435
6.7E11                    -3.4065210466371916      -1.709179730802577
6.9E11                    -3.254368612129539       -1.784981163825071
7.1E11                    -3.114038741791765       -1.8619850542717522
7.3E11                    -2.9942454844495385      -1.9356279700759544
7.5E11                    -2.889057016607659       -2.0052445970041317
