% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 3 2026, 09:03
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.818336571427642       -2.1356976337152975
2.7E11                    -5.43204728393219        -1.8627123143078783
2.9E11                    -6.242093740517811       -1.5737231543454622
3.1E11                    -7.327160319460672       -1.276911602931504
3.3E11                    -8.786548000340455       -0.9877358871500929
3.5E11                    -10.700464615222234      -0.7289181987080101
3.7E11                    -12.902687958721454      -0.5266539063878822
3.9E11                    -14.279198322618367      -0.4027134399889657
4.1E11                    -13.386792396454176      -0.36589664632720836
4.3E11                    -11.316125835435534      -0.408599135372239
4.5E11                    -9.404957548623207       -0.5109755983802545
4.7E11                    -7.929442924003322       -0.6491921719401226
4.9E11                    -6.830216310016379       -0.8023492719375014
5.1E11                    -6.010805216731776       -0.9555679639667021
5.3E11                    -5.39297515452852        -1.0999409249874235
5.5E11                    -4.920367242363032       -1.2310458807696025
5.7E11                    -4.553710656816393       -1.3472305769069457
5.9E11                    -4.265851192548198       -1.4481603305147086
6.1E11                    -4.0374816811471135      -1.5337243408487988
6.3E11                    -3.8518440770382893      -1.6036454010045946
6.5E11                    -3.6842006009684862      -1.660222422980016
6.7E11                    -3.4953862803628164      -1.7182684601401288
6.9E11                    -3.2855015273471055      -1.7980060825438877
7.1E11                    -3.1102401136491338      -1.887614892957605
7.3E11                    -2.979792228963002       -1.9692346922391435
7.5E11                    -2.8753760817008245      -2.041746035930352
