% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 2 2026, 18:52
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.419396124964497       -2.3187503289578437
2.7E11                    -4.902558141777627       -2.0653914881363895
2.9E11                    -5.53595069950953        -1.7901760825834896
3.1E11                    -6.383796365402957       -1.4958876487412236
3.3E11                    -7.53784437346115        -1.1914206332827169
3.5E11                    -9.120092435104572       -0.8939131772601514
3.7E11                    -11.241949341214424      -0.6287072749933658
3.9E11                    -13.701154565799545      -0.4248009191937724
4.1E11                    -14.95021727586199       -0.30556052634330894
4.3E11                    -13.450844550176601      -0.2791473323309928
4.5E11                    -11.06785961758124       -0.33547570369038904
4.7E11                    -9.086705296962565       -0.4518838758495475
4.9E11                    -7.6175409742031075      -0.6026587727737611
5.1E11                    -6.542601658968535       -0.7662543572402075
5.3E11                    -5.747928338222281       -0.9280079859165113
5.5E11                    -5.15026293126279        -1.0796233736429592
5.7E11                    -4.6920614485631         -1.2173965213619917
5.9E11                    -4.333960241735304       -1.3404141299831376
6.1E11                    -4.048898009149483       -1.449154557711338
6.3E11                    -3.8177088679759312      -1.5445265906216732
6.5E11                    -3.6244515365299113      -1.6276214514059868
6.7E11                    -3.4489215404849656      -1.7024142936328712
6.9E11                    -3.2738247633129176      -1.780490673867747
7.1E11                    -3.1192197269176085      -1.8629693477455058
7.3E11                    -2.995292940180476       -1.939510997197193
7.5E11                    -2.889642669430109       -2.0098392487153385
