% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 22 2026, 08:55
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -3.743479882993891       -2.7618529967437766
3.2E11                    -3.9580579314405306      -2.62752874933921
3.4E11                    -4.209615222085147       -2.4856938973315863
3.6E11                    -4.508045915788579       -2.3348953011986744
3.8E11                    -4.865363272867291       -2.1741128195221675
4.0E11                    -5.295471639894972       -2.003168829145123
4.2E11                    -5.812922387596963       -1.8232749349964745
4.4E11                    -6.429388618623088       -1.6376489407134094
4.6E11                    -7.1454905062189225      -1.4520196714277698
4.8E11                    -7.934479329280361       -1.2747059879050624
5.0E11                    -8.71649597446271        -1.115913112066272
5.2E11                    -9.338480356634406       -0.9860852416133864
5.4E11                    -9.6106744665614         -0.8936361288030212
5.6E11                    -9.432992496273908       -0.8428981513152773
5.8E11                    -8.88734679666532        -0.8332113680865381
6.0E11                    -8.158896641161054       -0.8595046088164362
6.2E11                    -7.406220765266167       -0.9138999222845565
6.4E11                    -6.717589040752284       -0.987421445314836
6.6E11                    -6.128974644314228       -1.0709724488637977
6.8E11                    -5.6506642292595775      -1.154982722281208
7.0E11                    -5.282926531541479       -1.2273082583940922
7.2E11                    -5.00535544998613        -1.2722249077683803
7.4E11                    -4.702613457532848       -1.295641422164191
7.6E11                    -4.237990834538519       -1.3727357320343925
7.8E11                    -3.792708170851389       -1.5162183440952242
8.0E11                    -3.4774368113387295      -1.6616777839105976
