% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 21 2026, 11:01
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -4.911469712934139       -2.159823351124906
3.2E11                    -5.413581072943579       -1.9420987905416374
3.4E11                    -6.060541198919279       -1.7064072939516193
3.6E11                    -6.903249724219439       -1.4560326334703741
3.8E11                    -8.001553129551036       -1.1993607770511323
4.0E11                    -9.399885140111252       -0.9511823677860571
4.2E11                    -11.027887832235997      -0.7321130076696948
4.4E11                    -12.425022474771872      -0.5647165900121496
4.6E11                    -12.636946010933332      -0.46663606818406983
4.8E11                    -11.45320088574439       -0.444013139122053
5.0E11                    -9.795712261164667       -0.4895462924371968
5.2E11                    -8.295776308892293       -0.5863979058810964
5.4E11                    -7.098246655531312       -0.7148343375130356
5.6E11                    -6.1754629355826784      -0.8575772012097302
5.8E11                    -5.467660236412111       -1.0021719137322866
6.0E11                    -4.920625990969739       -1.1409623846143389
6.2E11                    -4.4923725716963245      -1.2699356295364037
6.4E11                    -4.151664489426466       -1.3873776482647424
6.6E11                    -3.87352818928365        -1.4931884179436952
6.8E11                    -3.632227761696096       -1.5913592205019182
7.0E11                    -3.415250293774801       -1.6902423799131925
7.2E11                    -3.2366138955939645      -1.7849649751649825
7.4E11                    -3.088808860079864       -1.8713931379179112
7.6E11                    -2.959862435906913       -1.9522222949263308
7.8E11                    -2.8438787005289017      -2.0298912784353256
8.0E11                    -2.7376228187597142      -2.106002173899951
